College_Code,College,Department_Code,Department,Subject,Course_Number,CRN,Section,Course_Title__,Campus,Credit_Hours,Seat_Limit,Enrolled,Remaining,Room_Capacity,Corequisite_Indicator,WL_Capacity,WL_Actual,WL_Remaining,Status,Instructor,Start_Date,End_Date,Start_Time,End_Time,Days,Building,Part_of_Term,All_Faculty_Last_Name,All_Faculty__P_,ApproveTypeCode,All_Faculty_Full_Name
AS,Applied Science and Technology,FACS,Family and Consumer Sciences,FCFC,315,24358,800,Infant Toddler Curr Envir,OL,,45,20,25,,N,0,0,0,Active,Warnock,8/21/17,12/11/17,,,     , ,1,Warnock,K. Warnock,,Kresha Warnock
AS,Applied Science and Technology,FACS,Family and Consumer Sciences,FCS,299X,27273,1,Experiment Develop Topics,M,3,1,0,1,,N,0,0,0,Active,Young,8/21/17,12/11/17,,,     , ,1,Young,J. Young,SP,Jennifer Young
AP,Architecture and Planning,ARCH,Architecture,ARCH,100,11831,1,Introduction to Architecture,M,2,100,58,42,95,N,0,0,0,Active,San Miguel,8/21/17,12/11/17,1230,1320, T  R  ,AB 100,1,San Miguel,M. San Miguel,SP,Miguel San Miguel
AP,Architecture and Planning,ARCH,Architecture,ARCH,201,11813,1,Architectural Design,M,4,14,14,0,40,N,0,0,0,Active,Burns,8/21/17,12/11/17,1300,1650,M  W  F ,AB 501,1,Burns,S. Burns,,Sean Burns
AP,Architecture and Planning,ARCH,Architecture,ARCH,201,13352,2,Architectural Design,M,4,15,15,0,35,N,0,0,0,Active,Culp,8/21/17,12/11/17,1300,1650,M  W  F ,AB 507,1,Culp,J. Culp,,Jeffrey Culp
AP,Architecture and Planning,ARCH,Architecture,ARCH,201,13353,3,Architectural Design,M,4,11,11,0,40,N,0,0,0,Active,Shimizu-Coggeshall,8/21/17,12/11/17,1300,1650,M  W  F ,AB 501,1,Shimizu-Coggeshall,J. Shimizu-Coggeshall,,Janice Shimizu-Coggeshall
AP,Architecture and Planning,ARCH,Architecture,ARCH,201,13354,4,Architectural Design,M,4,14,14,0,40,N,0,0,0,Active,Swartz,8/21/17,12/11/17,1300,1650,M  W  F ,AB 501,1,Swartz,A. Swartz,,Andrea Swartz
AP,Architecture and Planning,ARCH,Architecture,ARCH,201,17286,5,Architectural Design,M,4,13,13,0,35,N,0,0,0,Active,Underwood,8/21/17,12/11/17,1300,1650,M  W  F ,AB 507,1,Underwood,J. Underwood,,James Underwood
AP,Architecture and Planning,ARCH,Architecture,ARCH,201,28337,6,Architectural Design,M,4,15,15,0,35,N,0,0,0,Active,Woodfin,8/21/17,12/11/17,1300,1650,M  W  F ,AB 507,1,Woodfin,C. Woodfin,,Charles Woodfin
AP,Architecture and Planning,ARCH,Architecture,ARCH,203,11833,1,Arch Design Studio,M,4,6,3,3,35,N,0,0,0,Active,Shimizu-Coggeshall,8/21/17,12/11/17,1300,1650,M  W  F ,AB 507,1,Shimizu-Coggeshall,J. Shimizu-Coggeshall,,Janice Shimizu-Coggeshall
AP,Architecture and Planning,ARCH,Architecture,ARCH,214,13356,1,Arch Build Tech 1,M,3,22,22,0,34,N,0,0,0,Active,Stafford,8/21/17,12/11/17,1100,1150,M  W  F ,AB 310,1,"Levins, Stafford","S. Levins, C. Stafford (P)",,"Scott Levins, Charles Stafford (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,214,17303,2,Arch Build Tech 1,M,3,24,24,0,34,N,0,0,0,Active,Stafford,8/21/17,12/11/17,1000,1050,M  W  F ,AB 310,1,"Majumdar, Stafford","S. Majumdar, C. Stafford (P)",,"Sanghamitra L Majumdar, Charles Stafford (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,214,17622,3,Arch Build Tech 1,M,3,20,20,0,60,N,0,0,0,Active,Gray,8/21/17,12/11/17,1100,1150,M  W  F ,AB 101,1,"Church, Derhammer, Gray","R. Church, B. Derhammer, T. Gray (P)",,"Robert Church, Bryce Derhammer, Timothy Gray (P)"
